-150.76696777,-211.31130981,713.90972900
-150.50733948,-210.38023376,714.46154785
-149.72369385,-207.59838867,716.10717773
-149.31163025,-206.14503479,716.96594238
-148.72174072,-204.08230591,718.18280029
-148.62818909,-203.76760864,718.36706543
-147.95277405,-201.57434082,719.64245605
-147.46739197,-200.00906372,720.55139160
-146.52490234,-196.98477173,722.30572510
-146.20242310,-195.95779419,722.90051270
-145.13836670,-192.59199524,724.84716797
-144.54881287,-190.73400879,725.92089844
-143.64765930,-187.90650940,727.55340576
-143.46479797,-187.34092712,727.87896729
-142.61187744,-184.74302673,729.36938477
-142.06365967,-183.08183289,730.32128906
-141.08918762,-180.14244080,732.00396729
-140.80213928,-179.28414917,732.49438477
-139.99055481,-176.88304138,733.86291504
-139.58197021,-175.68324280,734.54559326
-139.03157043,-174.08503723,735.45263672
-138.96838379,-173.91494751,735.54736328
-138.36546326,-172.30096436,736.42285156
-137.91184998,-171.08766174,737.07849121
-137.00273132,-168.65728760,738.38854980
-136.67709351,-167.78741455,738.85571289
-135.56005859,-164.80525208,740.45281982
-134.92823792,-163.11897278,741.35455322
-133.93919373,-160.48022461,742.76324463
-133.72326660,-159.90472412,743.06896973
-132.64096069,-157.02288818,744.59277344
-131.92919922,-155.12823486,745.59326172
-130.63897705,-151.69459534,747.40417480
-130.24484253,-150.64611816,747.95593262
-129.08261108,-147.55590820,749.57849121
-128.48054504,-145.95562744,750.41735840
-127.63592529,-143.71157837,751.59130859
-127.51402283,-143.38839722,751.75854492
-126.70991516,-141.26139832,752.84692383
-126.14259338,-139.76144409,753.61254883
-125.05560303,-136.88859558,755.07617188
-124.69122314,-135.92611694,755.56506348
-123.51097107,-132.81018066,757.14385986
-122.86371613,-131.10185242,758.00811768
-121.88642883,-128.52339172,759.31030273
-121.69601440,-128.02160645,759.56213379
-120.84670258,-125.78656006,760.67578125
-120.30914307,-124.37259674,761.37854004
-119.36657715,-121.89445496,762.60729980
-119.09623718,-121.18428040,762.95788574
-118.35662842,-119.24360657,763.91003418
-117.99302673,-118.29034424,764.37567139
-117.52062988,-117.05345154,764.97558594
-117.47930908,-116.94653320,765.02416992
-117.06994629,-115.91973114,765.48229980
-116.76036835,-115.14653015,765.82641602
-116.13781738,-113.59601593,766.51525879
-115.91377258,-113.04019928,766.76153564
-115.14228058,-111.13229370,767.60546875
-114.70504761,-110.05275726,768.08251953
-114.01909637,-108.36222839,768.82861328
-113.86837006,-107.99273682,768.99114990
-113.10845947,-106.13885498,769.80419922
-112.60783386,-104.91931152,770.33850098
-111.69898987,-102.70803070,771.30657959
-111.42060852,-102.03219604,771.60205078
-110.59729767,-100.03829193,772.47241211
-110.16998291,-99.00506592,772.92297363
-109.56892395,-97.55488586,773.55444336
-109.48104095,-97.34509277,773.64520264
-108.89348602,-95.95793152,774.24072266
-108.47775269,-94.97872925,774.66040039
-107.67952728,-93.10188293,775.46386719
-107.41106415,-92.47235107,775.73278809
-106.53887939,-90.43214417,776.60321045
-106.05974579,-89.31292725,777.08020020
-105.33483887,-87.62239838,777.79992676
-105.19261169,-87.29258728,777.93981934
-104.55324554,-85.81943512,778.56176758
-104.14743042,-84.88653564,778.95495605
-103.43409729,-83.25003052,779.64379883
-103.22848511,-82.78021240,779.84094238
-102.66242981,-81.49337769,780.37915039
-102.38284302,-80.86019897,780.64318848
-102.01698303,-80.03644562,780.98522949
-101.98297119,-79.96354675,781.01440430
-101.63811493,-78.54628754,781.46679688
-101.37655640,-77.40439606,781.82543945
-100.84951019,-75.01535797,782.56835938
-100.65932465,-74.10949707,782.84667969
-100.00302124,-70.86206055,783.83483887
